"dummy","match_day","homeTeam","awayTeam","homeScore","awayScore"
"1","day1","Liverpool","Bournemouth",4,2
"2","day1","Aston Villa","Newcastle",0,0
"3","day1","Brighton","Fulham",1,1
"4","day1","Sunderland","West Ham",3,0
"5","day1","Tottenham","Burnley",3,0
"6","day1","Wolves","Man City",0,4
"7","day1","Chelsea","Crystal Palace",0,0
"8","day1","Nott'm Forest","Brentford",3,1
"9","day1","Man United","Arsenal",0,1
"10","day1","Leeds","Everton",1,0
"11","day2","West Ham","Chelsea",1,5
"12","day2","Man City","Tottenham",0,2
"13","day2","Bournemouth","Wolves",1,0
"14","day2","Brentford","Aston Villa",1,0
"15","day2","Burnley","Sunderland",2,0
"16","day2","Arsenal","Leeds",5,0
"17","day2","Crystal Palace","Nott'm Forest",1,1
"18","day2","Everton","Brighton",2,0
"19","day2","Fulham","Man United",1,1
"20","day2","Newcastle","Liverpool",2,3
"21","day3","Chelsea","Fulham",2,0
"22","day3","Man United","Burnley",3,2
"23","day3","Sunderland","Brentford",2,1
"24","day3","Tottenham","Bournemouth",0,1
"25","day3","Wolves","Everton",2,3
"26","day3","Leeds","Newcastle",0,0
"27","day3","Brighton","Man City",2,1
"28","day3","Nott'm Forest","West Ham",0,3
"29","day3","Liverpool","Arsenal",1,0
"30","day3","Aston Villa","Crystal Palace",0,3
"31","day4","Arsenal","Nott'm Forest",3,0
"32","day4","Bournemouth","Brighton",2,1
"33","day4","Crystal Palace","Sunderland",0,0
"34","day4","Everton","Aston Villa",0,0
"35","day4","Fulham","Leeds",1,0
"36","day4","Newcastle","Wolves",1,0
"37","day4","West Ham","Tottenham",0,3
"38","day4","Brentford","Chelsea",2,2
"39","day4","Burnley","Liverpool",0,1
"40","day4","Man City","Man United",3,0
"41","day5","Liverpool","Everton",2,1
"42","day5","Brighton","Tottenham",2,2
"43","day5","Burnley","Nott'm Forest",1,1
"44","day5","West Ham","Crystal Palace",1,2
"45","day5","Wolves","Leeds",1,3
"46","day5","Man United","Chelsea",2,1
"47","day5","Fulham","Brentford",3,1
"48","day5","Bournemouth","Newcastle",0,0
"49","day5","Sunderland","Aston Villa",1,1
"50","day5","Arsenal","Man City",1,1
"51","day6","Brentford","Man United",3,1
"52","day6","Chelsea","Brighton",1,3
