matchday,homeTeam,awayTeam,homeTeamScore,awayTeamScore
day1,Liverpool,Bournemouth,4,2
day1,Aston Villa,Newcastle,0,0
day1,Brighton,Fulham,1,1
day1,Sunderland,West Ham,3,0
day1,Tottenham,Burnley,3,0
day1,Wolves,Man City,0,4
day1,Chelsea,Crystal Palace,0,0
day1,Nottm Forest,Brentford,3,1
day1,Man United,Arsenal,0,1
day1,Leeds United,Everton,1,0
day2,West Ham,Chelsea,1,5
day2,Man City,Tottenham,0,2
day2,Bournemouth,Wolves,1,0
day2,Burnley,Sunderland,2,0
day2,Brentford,Aston Villa,1,0
day2,Arsenal,Leeds United,5,0
day2,Crystal Palace,Nottm Forest,1,1
day2,Everton,Brighton,2,0
day2,Fulham,Man United,1,1
day2,Newcastle,Liverpool,2,3
day3,Chelsea,Fulham,2,0
day3,Wolves,Everton,2,3
day3,Tottenham,Bournemouth,0,1
day3,Man United,Burnley,3,2
day3,Sunderland,Brentford,2,1
day3,Leeds United,Newcastle,0,0
day3,Brighton,Man City,2,1
day3,Nottm Forest,West Ham,0,3
day3,Liverpool,Arsenal,1,0
day3,Aston Villa,Crystal Palace,0,3
day4,Arsenal,Nottm Forest,3,0
day4,Bournemouth,Brighton,2,1
day4,Newcastle,Wolves,1,0
day4,Everton,Aston Villa,0,0
day4,Crystal Palace,Sunderland,0,0
day4,Fulham,Leeds United,1,0
day4,West Ham,Tottenham,0,3
day4,Brentford,Chelsea,2,2
day4,Burnley,Liverpool,0,1
day4,Man City,Man United,3,0
day5,Liverpool,Everton,2,1
day5,Burnley,Nottm Forest,1,1
day5,Brighton,Tottenham,2,2
day5,West Ham,Crystal Palace,1,2
day5,Wolves,Leeds United,1,3
day5,Man United,Chelsea,2,1
day5,Fulham,Brentford,3,1
day5,Sunderland,Aston Villa,1,1
day5,Bournemouth,Newcastle,0,0
day5,Arsenal,Man City,1,1
day6,Brentford,Man United,3,1
day6,Leeds United,Bournemouth,2,2
day6,Chelsea,Brighton,1,3
day6,Man City,Burnley,5,1
day6,Crystal Palace,Liverpool,2,1
day6,Nottm Forest,Sunderland,0,1
day6,Tottenham,Wolves,1,1
day6,Aston Villa,Fulham,3,1
day6,Newcastle,Arsenal,1,2
day6,Everton,West Ham,1,1
day7,Bournemouth,Fulham,3,1
day7,Leeds United,Tottenham,1,2
day7,Man United,Sunderland,2,0
day7,Arsenal,West Ham,2,0
day7,Chelsea,Liverpool,2,1
day7,Everton,Crystal Palace,2,1
day7,Newcastle,Nottm Forest,2,0
day7,Wolves,Brighton,1,1
day7,Aston Villa,Burnley,2,1
day7,Brentford,Man City,0,1
day8,Nottm Forest,Chelsea,0,3
day8,Sunderland,Wolves,2,0
day8,Burnley,Leeds United,2,0
day8,Crystal Palace,Bournemouth,3,3
day8,Brighton,Newcastle,2,1
day8,Man City,Everton,2,0
day8,Fulham,Arsenal,0,1
day8,Tottenham,Aston Villa,1,2
day8,Liverpool,Man United,1,2
day8,West Ham,Brentford,0,2
day9,Leeds United,West Ham,2,1
day9,Chelsea,Sunderland,1,2
day9,Newcastle,Fulham,2,1
day9,Man United,Brighton,4,2
day9,Brentford,Liverpool,3,2
day9,Wolves,Burnley,2,3
day9,Arsenal,Crystal Palace,1,0
day9,Aston Villa,Man City,1,0
day9,Bournemouth,Nottm Forest,2,0
day9,Everton,Tottenham,0,3
day10,Crystal Palace,Brentford,2,0
day10,Nottm Forest,Man United,2,2
day10,Burnley,Arsenal,0,2
day10,Brighton,Leeds United,3,0
day10,Fulham,Wolves,3,0
day10,Tottenham,Chelsea,0,1
