matchday,homeTeam,awayTeam,homeTeamScore,awayTeamScore
day1,Bayern,RB Leipzig,6,0
day1,Leverkusen,Hoffenheim,1,2
day1,Union Berlin,VfB Stuttgart,2,1
day1,SC Freiburg,Augsburg,1,3
day1,Heidenheim,Wolfsburg,1,3
day1,Eintracht Frankfurt,Werder,4,1
day1,FC St Pauli,Dortmund,3,3
day1,Mainz,Koln,0,1
day1,Monchengladbach,Hamburger SV,0,0
day2,Hamburger SV,FC St Pauli,0,2
day2,Hoffenheim,Eintracht Frankfurt,1,3
day2,RB Leipzig,Heidenheim,2,0
day2,Werder,Leverkusen,3,3
day2,VfB Stuttgart,Monchengladbach,1,0
day2,Augsburg,Bayern,2,3
day2,Wolfsburg,Mainz,1,1
day2,Dortmund,Union Berlin,3,0
day2,Koln,SC Freiburg,4,1
day3,Leverkusen,Eintracht Frankfurt,3,1
day3,Union Berlin,Hoffenheim,2,4
day3,Heidenheim,Dortmund,0,2
day3,Mainz,RB Leipzig,0,1
day3,SC Freiburg,VfB Stuttgart,3,1
day3,Wolfsburg,Koln,3,3
day3,Bayern,Hamburger SV,5,0
day3,FC St Pauli,Augsburg,2,1
day3,Monchengladbach,Werder,0,4
day4,VfB Stuttgart,FC St Pauli,2,0
day4,Augsburg,Mainz,1,4
day4,Hoffenheim,Bayern,1,4
day4,Hamburger SV,Heidenheim,2,1
day4,Werder,SC Freiburg,0,3
day4,RB Leipzig,Koln,3,1
day4,Eintracht Frankfurt,Union Berlin,3,4
day4,Leverkusen,Monchengladbach,1,1
day4,Dortmund,Wolfsburg,1,0
day5,Bayern,Werder,4,0
day5,Mainz,Dortmund,0,2
day5,Heidenheim,Augsburg,2,1
day5,FC St Pauli,Leverkusen,1,2
day5,Wolfsburg,RB Leipzig,0,1
day5,Monchengladbach,Eintracht Frankfurt,4,6
day5,SC Freiburg,Hoffenheim,1,1
day5,Koln,VfB Stuttgart,1,2
day5,Union Berlin,Hamburger SV,0,0
day6,Hoffenheim,Koln,0,1
day6,Leverkusen,Union Berlin,2,0
day6,Dortmund,RB Leipzig,1,1
day6,Werder,FC St Pauli,1,0
day6,Augsburg,Wolfsburg,3,1
day6,Eintracht Frankfurt,Bayern,0,3
day6,VfB Stuttgart,Heidenheim,1,0
day6,Hamburger SV,Mainz,4,0
day6,Monchengladbach,SC Freiburg,0,0
day7,Union Berlin,Monchengladbach,3,1
day7,Mainz,Leverkusen,3,4
day7,RB Leipzig,Hamburger SV,2,1
day7,Koln,Augsburg,1,1
day7,Heidenheim,Werder,2,2
day7,Wolfsburg,VfB Stuttgart,0,3
day7,Bayern,Dortmund,2,1
day7,SC Freiburg,Eintracht Frankfurt,2,2
day7,FC St Pauli,Hoffenheim,0,3
day8,Werder,Union Berlin,1,0
day8,Eintracht Frankfurt,FC St Pauli,2,0
day8,Augsburg,RB Leipzig,0,6
day8,Hamburger SV,Wolfsburg,0,1
day8,Hoffenheim,Heidenheim,3,1
day8,Monchengladbach,Bayern,0,3
day8,Dortmund,Koln,1,0
day8,Leverkusen,SC Freiburg,2,0
day8,VfB Stuttgart,Mainz,2,1
day9,Augsburg,Dortmund,0,1
day9,RB Leipzig,VfB Stuttgart,3,1
day9,Heidenheim,Eintracht Frankfurt,1,1
day9,Union Berlin,SC Freiburg,0,0
day9,Mainz,Werder,1,1
day9,FC St Pauli,Monchengladbach,0,4
day9,Bayern,Leverkusen,3,0
day9,Koln,Hamburger SV,4,1
day9,Wolfsburg,Hoffenheim,2,3
day10,Werder,Wolfsburg,2,1
day10,Hoffenheim,RB Leipzig,3,1
day10,Leverkusen,Heidenheim,6,0
day10,Hamburger SV,Dortmund,1,1
day10,Union Berlin,Bayern,2,2
day10,Monchengladbach,Koln,3,1
day10,SC Freiburg,FC St Pauli,2,1
day10,VfB Stuttgart,Augsburg,3,2
day10,Eintracht Frankfurt,Mainz,1,0
day11,Mainz,Hoffenheim,1,1
day11,Heidenheim,Monchengladbach,0,3
day11,Dortmund,VfB Stuttgart,3,3
day11,Bayern,SC Freiburg,6,2
day11,Augsburg,Hamburger SV,1,0
day11,Wolfsburg,Leverkusen,1,3
day11,Koln,Eintracht Frankfurt,3,4
day11,RB Leipzig,Werder,2,0
day11,FC St Pauli,Union Berlin,0,1
day12,Monchengladbach,RB Leipzig,0,0
day12,Union Berlin,Heidenheim,1,2
day12,Werder,Koln,1,1
day12,Bayern,FC St Pauli,3,1
day12,Hoffenheim,Augsburg,3,0
day12,Leverkusen,Dortmund,1,2
day12,Hamburger SV,VfB Stuttgart,2,1
day12,Eintracht Frankfurt,Wolfsburg,1,1
day12,SC Freiburg,Mainz,4,0
day13,Mainz,Monchengladbach,0,1
day13,Koln,FC St Pauli,1,1
day13,Augsburg,Leverkusen,2,0
day13,Heidenheim,SC Freiburg,2,1
day13,VfB Stuttgart,Bayern,0,5
day13,Wolfsburg,Union Berlin,3,1
day13,RB Leipzig,Eintracht Frankfurt,6,0
day13,Hamburger SV,Werder,3,2
day13,Dortmund,Hoffenheim,2,0
day14,Union Berlin,RB Leipzig,3,1
day14,Hoffenheim,Hamburger SV,4,1
day14,Monchengladbach,Wolfsburg,1,3
day14,FC St Pauli,Heidenheim,2,1
day14,Eintracht Frankfurt,Augsburg,1,0
day14,Leverkusen,Koln,2,0
day14,SC Freiburg,Dortmund,1,1
day14,Bayern,Mainz,2,2
day14,Werder,VfB Stuttgart,0,4


