matchday,homeTeam,awayTeam,homeTeamScore,awayTeamScore
day1,Sassuolo,SSC Napoli,0,2
day1,Genoa,Lecce,0,0
day1,Roma,Bologna,1,0
day1,AC Milan,Cremonese,1,2
day1,Como,Lazio,2,0
day1,Cagliari,Fiorentina,1,1
day1,Atalanta,Pisa,1,1
day1,Juventus,Parma Calcio 1913,2,0
day1,Udinese,Verona,1,1
day1,Inter,Torino,5,0
day2,Cremonese,Sassuolo,3,2
day2,Lecce,AC Milan,0,2
day2,Bologna,Como,1,0
day2,Parma Calcio 1913,Atalanta,1,1
day2,SSC Napoli,Cagliari,1,0
day2,Pisa,Roma,0,1
day2,Genoa,Juventus,0,1
day2,Torino,Fiorentina,0,0
day2,Lazio,Verona,4,0
day2,Inter,Udinese,1,2
day3,Cagliari,Parma Calcio 1913,2,0
day3,Juventus,Inter,4,3
day3,Fiorentina,SSC Napoli,1,3
day3,Roma,Torino,0,1
day3,Pisa,Udinese,0,1
day3,Atalanta,Lecce,4,1
day3,Sassuolo,Lazio,1,0
day3,AC Milan,Bologna,1,0
day3,Verona,Cremonese,0,0
day3,Como,Genoa,1,1
day4,Lecce,Cagliari,1,2
day4,Bologna,Genoa,2,1
day4,Verona,Juventus,1,1
day4,Udinese,AC Milan,0,3
day4,Lazio,Roma,0,1
day4,Torino,Atalanta,0,3
day4,Cremonese,Parma Calcio 1913,0,0
day4,Fiorentina,Como,1,2
day4,Inter,Sassuolo,2,1
day4,SSC Napoli,Pisa,3,2
day5,Como,Cremonese,1,1
day5,Juventus,Atalanta,1,1
day5,Cagliari,Inter,0,2
day5,Sassuolo,Udinese,3,1
day5,Roma,Verona,2,0
day5,Pisa,Fiorentina,0,0
day5,Lecce,Bologna,2,2
day5,AC Milan,SSC Napoli,2,1
day5,Parma Calcio 1913,Torino,2,1
day5,Genoa,Lazio,0,3
day6,Verona,Sassuolo,0,1
day6,Lazio,Torino,3,3
day6,Parma Calcio 1913,Lecce,0,1
day6,Inter,Cremonese,4,1
day6,Atalanta,Como,1,1
day6,Udinese,Cagliari,1,1
day6,Bologna,Pisa,4,0
day6,Fiorentina,Roma,1,2
day6,SSC Napoli,Genoa,2,1
day6,Juventus,AC Milan,0,0
day7,Pisa,Verona,0,0
day7,Lecce,Sassuolo,0,0
day7,Torino,SSC Napoli,1,0
day7,Roma,Inter,0,1
day7,Como,Juventus,2,0
day7,Genoa,Parma Calcio 1913,0,0
day7,Cagliari,Bologna,0,2
day7,Atalanta,Lazio,0,0
day7,AC Milan,Fiorentina,2,1
day7,Cremonese,Udinese,1,1
day8,AC Milan,Pisa,2,2
day8,Udinese,Lecce,3,2
day8,Parma Calcio 1913,Como,0,0
day8,SSC Napoli,Inter,3,1
day8,Cremonese,Atalanta,1,1
day8,Torino,Genoa,2,1
day8,Verona,Cagliari,2,2
day8,Sassuolo,Roma,0,1
day8,Fiorentina,Bologna,2,2
day8,Lazio,Juventus,1,0
day9,Lecce,SSC Napoli,0,1
day9,Atalanta,AC Milan,1,1
day9,Como,Verona,3,1
day9,Juventus,Udinese,3,1
day9,Roma,Parma Calcio 1913,2,1
day9,Genoa,Cremonese,0,2
day9,Bologna,Torino,0,0
day9,Inter,Fiorentina,3,0
day9,Cagliari,Sassuolo,1,2
day9,Pisa,Lazio,0,0
day10,Udinese,Atalanta,1,0
day10,SSC Napoli,Como,0,0
day10,Cremonese,Juventus,1,2
day10,Verona,Inter,1,2
day10,Torino,Pisa,2,2
day10,Fiorentina,Lecce,0,1
day10,Parma Calcio 1913,Bologna,1,3
day10,AC Milan,Roma,1,0
day10,Sassuolo,Genoa,1,2
day10,Lazio,Cagliari,2,0
day11,Pisa,Cremonese,1,0
day11,Lecce,Verona,0,0
day11,Como,Cagliari,0,0
day11,Juventus,Torino,0,0
day11,Parma Calcio 1913,AC Milan,2,2
day11,Atalanta,Sassuolo,0,3
day11,Bologna,SSC Napoli,2,0
day11,Genoa,Fiorentina,2,2
day11,Roma,Udinese,2,0
day11,Inter,Lazio,2,0
day12,Cagliari,Genoa,3,3
day12,Udinese,Bologna,0,3
day12,Fiorentina,Juventus,1,1
day12,SSC Napoli,Atalanta,3,1
day12,Verona,Parma Calcio 1913,1,2
day12,Cremonese,Roma,1,3
day12,Lazio,Lecce,2,0
day12,Inter,AC Milan,0,1
day12,Torino,Como,1,5
day12,Sassuolo,Pisa,2,2
day13,Como,Sassuolo,2,0
day13,Parma Calcio 1913,Udinese,0,2
day13,Genoa,Verona,2,1
day13,Juventus,Cagliari,2,1
day13,AC Milan,Lazio,1,0
day13,Lecce,Torino,2,1
day13,Pisa,Inter,0,2
day13,Atalanta,Fiorentina,2,0
day13,Roma,SSC Napoli,0,1
day13,Bologna,Cremonese,1,3
day14,Sassuolo,Fiorentina,3,1
day14,Inter,Como,4,0
day14,Verona,Atalanta,3,1
day14,Cremonese,Lecce,2,0
day14,Cagliari,Roma,1,0
day14,Lazio,Bologna,1,1
day14,SSC Napoli,Juventus,2,1
day14,Pisa,Parma Calcio 1913,0,1
day14,Udinese,Genoa,1,2
day14,Torino,AC Milan,2,3
day15,Lecce,Pisa,1,0
day15,Torino,Cremonese,1,0
day15,Parma Calcio 1913,Lazio,0,1
day15,Atalanta,Cagliari,2,1
day15,AC Milan,Sassuolo,2,2
day15,Udinese,SSC Napoli,1,0
day15,Fiorentina,Verona,1,2
day15,Genoa,Inter,1,2
day15,Bologna,Juventus,0,1
day15,Roma,Como,1,0


