"","Date","HomeTeam","AwayTeam","FTHG","FTAG"
"1","15/08/2025","Girona","Vallecano",1,3
"2","15/08/2025","Villarreal","Oviedo",2,0
"3","16/08/2025","Mallorca","Barcelona",0,3
"4","16/08/2025","Alaves","Levante",2,1
"5","16/08/2025","Valencia","Sociedad",1,1
"6","17/08/2025","Celta","Getafe",0,2
"7","17/08/2025","Ath Bilbao","Sevilla",3,2
"8","17/08/2025","Espanol","Ath Madrid",2,1
"9","18/08/2025","Elche","Betis",1,1
"10","19/08/2025","Real Madrid","Osasuna",1,0
"11","22/08/2025","Betis","Alaves",1,0
"12","23/08/2025","Mallorca","Celta",1,1
"13","23/08/2025","Ath Madrid","Elche",1,1
"14","23/08/2025","Levante","Barcelona",2,3
"15","24/08/2025","Osasuna","Valencia",1,0
"16","24/08/2025","Sociedad","Espanol",2,2
"17","24/08/2025","Villarreal","Girona",5,0
"18","24/08/2025","Oviedo","Real Madrid",0,3
"19","25/08/2025","Ath Bilbao","Vallecano",1,0
"20","25/08/2025","Sevilla","Getafe",1,2
"21","27/08/2025","Celta","Betis",1,1
"22","29/08/2025","Elche","Levante",2,0
"23","29/08/2025","Valencia","Getafe",3,0
"24","30/08/2025","Alaves","Ath Madrid",1,1
"25","30/08/2025","Oviedo","Sociedad",1,0
"26","30/08/2025","Girona","Sevilla",0,2
"27","30/08/2025","Real Madrid","Mallorca",2,1
"28","31/08/2025","Celta","Villarreal",1,1
"29","31/08/2025","Betis","Ath Bilbao",1,2
"30","31/08/2025","Espanol","Osasuna",1,0
"31","31/08/2025","Vallecano","Barcelona",1,1
"32","12/09/2025","Sevilla","Elche",2,2
"33","13/09/2025","Getafe","Oviedo",2,0
"34","13/09/2025","Sociedad","Real Madrid",1,2
"35","13/09/2025","Ath Bilbao","Alaves",0,1
"36","13/09/2025","Ath Madrid","Villarreal",2,0
"37","14/09/2025","Celta","Girona",1,1
"38","14/09/2025","Levante","Betis",2,2
"39","14/09/2025","Osasuna","Vallecano",2,0
"40","14/09/2025","Barcelona","Valencia",6,0
"41","15/09/2025","Espanol","Mallorca",3,2
"42","19/09/2025","Betis","Sociedad",3,1
"43","20/09/2025","Girona","Levante",0,4
"44","20/09/2025","Real Madrid","Espanol",2,0
"45","20/09/2025","Alaves","Sevilla",1,2
"46","20/09/2025","Villarreal","Osasuna",2,1
"47","20/09/2025","Valencia","Ath Bilbao",2,0
"48","21/09/2025","Vallecano","Celta",1,1
"49","21/09/2025","Mallorca","Ath Madrid",1,1
"50","21/09/2025","Elche","Oviedo",1,0
"51","21/09/2025","Barcelona","Getafe",3,0
"52","23/09/2025","Ath Bilbao","Girona",1,1
"53","23/09/2025","Espanol","Valencia",2,2
"54","23/09/2025","Levante","Real Madrid",1,4
"55","23/09/2025","Sevilla","Villarreal",1,2
"56","24/09/2025","Getafe","Alaves",1,1
"57","24/09/2025","Ath Madrid","Vallecano",3,2
"58","24/09/2025","Sociedad","Mallorca",1,0
"59","25/09/2025","Osasuna","Elche",1,1
"60","25/09/2025","Oviedo","Barcelona",1,3
"61","26/09/2025","Girona","Espanol",0,0
"62","27/09/2025","Getafe","Levante",1,1
"63","27/09/2025","Ath Madrid","Real Madrid",5,2
"64","27/09/2025","Mallorca","Alaves",1,0
"65","27/09/2025","Villarreal","Ath Bilbao",1,0
"66","28/09/2025","Vallecano","Sevilla",0,1
"67","28/09/2025","Elche","Celta",2,1
"68","28/09/2025","Barcelona","Sociedad",2,1
"69","28/09/2025","Betis","Osasuna",2,0
"70","30/09/2025","Valencia","Oviedo",1,2
"71","03/10/2025","Osasuna","Getafe",2,1
"72","04/10/2025","Oviedo","Levante",0,2
"73","04/10/2025","Girona","Valencia",2,1
"74","04/10/2025","Ath Bilbao","Mallorca",2,1
"75","04/10/2025","Real Madrid","Villarreal",3,1
"76","05/10/2025","Alaves","Elche",3,1
"77","05/10/2025","Sevilla","Barcelona",4,1
"78","05/10/2025","Espanol","Betis",1,2
"79","05/10/2025","Sociedad","Vallecano",0,1
"80","05/10/2025","Celta","Ath Madrid",1,1
"81","17/10/2025","Oviedo","Espanol",0,2
"82","18/10/2025","Sevilla","Mallorca",1,3
"83","18/10/2025","Barcelona","Girona",2,1
"84","18/10/2025","Villarreal","Betis",2,2
"85","18/10/2025","Ath Madrid","Osasuna",1,0
"86","19/10/2025","Elche","Ath Bilbao",0,0
"87","19/10/2025","Celta","Sociedad",1,1
"88","19/10/2025","Levante","Vallecano",0,3
"89","19/10/2025","Getafe","Real Madrid",0,1
