matchday,homeTeam,awayTeam,homeTeamScore,awayTeamScore
day1,Girona,Rayo Vallecano,1,3
day1,Villarreal,Real Oviedo,2,0
day1,Mallorca,Barcelona,0,3
day1,Deportivo Alaves,Levante,2,1
day1,Valencia,Real Sociedad,1,1
day1,Celta Vigo,Getafe,0,2
day1,Athletic Bilbao,Sevilla,3,2
day1,Espanyol,Atletico Madrid,2,1
day1,Elche,Real Betis,1,1
day1,Real Madrid,Osasuna,1,0
day2,Real Betis,Deportivo Alaves,1,0
day2,Mallorca,Celta Vigo,1,1
day2,Atletico Madrid,Elche,1,1
day2,Levante,Barcelona,2,3
day2,Osasuna,Valencia,1,0
day2,Villarreal,Girona,5,0
day2,Real Sociedad,Espanyol,2,2
day2,Real Oviedo,Real Madrid,0,3
day2,Athletic Bilbao,Rayo Vallecano,1,0
day2,Sevilla,Getafe,1,2
day3,Elche,Levante,2,0
day3,Valencia,Getafe,3,0
day3,Deportivo Alaves,Atletico Madrid,1,1
day3,Real Oviedo,Real Sociedad,1,0
day3,Girona,Sevilla,0,2
day3,Real Madrid,Mallorca,2,1
day3,Celta Vigo,Villarreal,1,1
day3,Real Betis,Athletic Bilbao,1,2
day3,Espanyol,Osasuna,1,0
day3,Rayo Vallecano,Barcelona,1,1
day4,Sevilla,Elche,2,2
day4,Getafe,Real Oviedo,2,0
day4,Real Sociedad,Real Madrid,1,2
day4,Athletic Bilbao,Deportivo Alaves,0,1
day4,Atletico Madrid,Villarreal,2,0
day4,Celta Vigo,Girona,1,1
day4,Levante,Real Betis,2,2
day4,Osasuna,Rayo Vallecano,2,0
day4,Barcelona,Valencia,6,0
day4,Espanyol,Mallorca,3,2
day5,Real Betis,Real Sociedad,3,1
day5,Girona,Levante,0,4
day5,Real Madrid,Espanyol,2,0
day5,Deportivo Alaves,Sevilla,1,2
day5,Villarreal,Osasuna,2,1
day5,Valencia,Athletic Bilbao,2,0
day5,Rayo Vallecano,Celta Vigo,1,1
day5,Mallorca,Atletico Madrid,1,1
day5,Elche,Real Oviedo,1,0
day5,Barcelona,Getafe,3,0
day6,Celta Vigo,Real Betis,1,1
day6,Espanyol,Valencia,2,2
day6,Athletic Bilbao,Girona,1,1
day6,Sevilla,Villarreal,1,2
day6,Levante,Real Madrid,1,4
day6,Getafe,Deportivo Alaves,1,1
day6,Atletico Madrid,Rayo Vallecano,3,2
day6,Real Sociedad,Mallorca,1,0
day6,Osasuna,Elche,1,1
day6,Real Oviedo,Barcelona,1,3
day7,Girona,Espanyol,0,0
day7,Getafe,Levante,1,1
day7,Atletico Madrid,Real Madrid,5,2
day7,Mallorca,Deportivo Alaves,1,0
day7,Villarreal,Athletic Bilbao,1,0
day7,Rayo Vallecano,Sevilla,0,1
day7,Elche,Celta Vigo,2,1
day7,Barcelona,Real Sociedad,2,1
day7,Real Betis,Osasuna,2,0
day7,Valencia,Real Oviedo,1,2
day8,Osasuna,Getafe,2,1
day8,Real Oviedo,Levante,0,2
day8,Girona,Valencia,2,1
